Data_Year,ID,Property_Name,Address,Energy_Rating,Property_Type,Floor_Area,Water_Use (kGal),Electricity_Use(kBtu),Natural_Gas_Use(kBtu),Total_GHG_Emissions(Metric Tons CO2e),GHG_Intensity(kg CO2e/sq ft),Latitude,Longitude,Location,Wards,Community_Area
2020,251899,Shields Main-CPS,4250 S Rockwell St,3.0,K-12 School,128230,6262.1,2854443.3,7295699.6,833,6.5,41.922012,-87.65462,"(41.922012, -87.65462)",3,55
2020,158433,Clinton Street Lofts,226 N Clinton St,3.5,Multifamily Housing,188400,3528.5,4049061.5,5646195.2,906.6,6.5,41.87827,-87.64809,"(41.87827, -87.64809)",36,29
2018,157587,Loretto Hospital,645 S CENTRAL AVE,0.0,Hospital (General Medical & Surgical),231325,10337,17319779.4,44114669.4,5224.5,22.6,41.892445,-87.76498,"(41.892445, -87.76498)",45,26
2020,101560,IL0054ZZ - Clark Fedral Bldg,536 S Clark St,3.0,Office,636217,2490.0,29743740.4,37313760.5,6624,10.4,41.875008,-87.631226,"(41.875008, -87.631226)",10,38
2020,158438,Realtor Building,430 N Michigan Ave,4.0,Office,264980,1550.6,13380740.9,3550421.5,2276.9,8.1,41.890377,-87.62468,"(41.890377, -87.62468)",36,37
2020,251423,Ortiz De Dominguez -CPS,3000 S Lawndale Ave,4.0,K-12 School,63900,7616.2,2334985.1,9363617.1,364.4,5.7,41.838238,-87.71771,"(41.838238, -87.71771)",28,32
2018,114861,The Narragansett Condominium Inc,1640  E 50TH ST,2.5,Multifamily Housing,147000,3016,1207370.3,13844946.6,936.2,6.4,41.802242,-87.603325,"(41.802242, -87.603325)",33,8
2020,120299,8516-Bucktown,2112 N ASHLAND AVE,4.0,Supermarket/Grocery Store,80033,479.9,10980155.7,7130183.1,2092.4,26.1,41.853783,-87.66645,"(41.853783, -87.66645)",26,33
2016,103731,900 W Fullerton Condo,900  W FULLERTON AVE,19,Multifamily Housing,52500,4973.2,880149.3,2768564.9,309.3,5.9,41.922012,-87.65462,"(41.922012, -87.65462)",34,68
2021,251428,"Henson Elementary, Matthew A -CPS",1326 S Avers Ave,29,K-12 School,64300,4390.3,449081.8,9443969.9,9576.3,9.8,41.863777,-87.72184,"(41.863777, -87.72184)",14,30
2020,103733,International Tower,8550 W Bryn Mawr Ave,4.0,Office,433339,2642.0,12172067.6,17370620,2822.3,9.1,41.887623,-87.67442,"(41.887623, -87.67442)",29,75
2020,101557,Atlas 2 E 8th St,2 E 8th St,1.0,Multifamily Housing,340887,2020.5,10027810.5,22437698.5,2756.8,10.4,41.871826,-87.627235,"(41.871826, -87.627235)",10,38
2020,251426,"Haley Elementary, Alex -CPS",11411 S Eggleston Ave,3.0,K-12 School,101294,8612.6,2744743,4643990.3,675,6.7,41.686386,-87.63336,"(41.686386, -87.63336)",22,45
2020,101559,IL0303ZZ - Metcalf Federal Bldg,77 W Jackson,4.0,Office,868473,7408.3,31159545,7758022.5,4863,5.9,41.877556,-87.63042,"(41.877556, -87.63042)",10,38
2020,159315,1401 S State St,1401 S State St,4.0,Multifamily Housing,354598,2848.1,8979221,2845600,1552.5,5.4,41.86368,-87.626915,"(41.86368, -87.626915)",9,34
2020,160304,The Tides at Lakeshore East,360 E South Water St,2.0,Multifamily Housing,615718,2110.5,13922609.3,30171568.4,3775.4,7.8,41.886734,-87.61817,"(41.886734, -87.61817)",36,38
2020,160300,750 N. Rush,750 N Rush St,4.0,Multifamily Housing,355000,6085.6,7828605.5,16436725.2,2094.8,6.4,41.89632,-87.62554,"(41.89632, -87.62554)",36,37
2020,101527,Sankofa House,4041  W ROOSEVELT RD,4.0,Multifamily Housing,67988,7206.6,981318.5,3492299,338.6,5,41.880825,-87.72328,"(41.880825, -87.72328)",23,27
2018,173617,105 W Madison,105 W MADISON ST,2.0,Office,140000,2858,8713292.6,6545099.8,1797.2,12.8,41.881954,-87.63114,"(41.881954, -87.63114)",36,38
2020,251874,"Stagg Elementary, Amos A -CPS",7424 S Morgan St,4.0,K-12 School,68227,4578.9,881382.2,3205460,307.8,4.5,41.759007,-87.64938,"(41.759007, -87.64938)",31,66
2017,172765,The Oaks,820  S PARK TER,85,Multifamily Housing,157844,6518.8,3120206,10525900,1136,7.2,41.868633,-87.627304,"(41.868633, -87.627304)",10,38
2020,158472,Metropolis Condominium Association,8 W Monroe St,1.5,Multifamily Housing,258704,5205.4,8202380.6,8890415.4,1752.4,8,41.88096,-87.6278,"(41.88096, -87.6278)",36,38
2017,100674,The Lofts at Arthington,3301 W Arthington St,26,Multifamily Housing,228897,6070.4,2564975,8642221,933.3,4.1,41.870007,-87.70832,"(41.870007, -87.70832)",14,30
2020,159323,Minnie Ripperton Apts,4250 S Princeton Ave,3.5,Multifamily Housing,211036,1783.5,4193463.9,12032210,1293.6,6.1,41.816742,-87.634705,"(41.816742, -87.634705)",9,3
2017,102854,Hyde Park West Apartments,5325  S COTTAGE GROVE AVE,84,Multifamily Housing,146499,6445.7,2479422,16890847,1355.6,9.3,41.802242,-87.603325,"(41.802242, -87.603325)",33,8
2020,251878,South Loop -CPS,1212 S Plymouth Ct,1.0,K-12 School,57995,6074.7,4309747.1,2457310.2,803.1,13.8,41.866726,-87.62901,"(41.866726, -87.62901)",9,34
2017,159302,Montclare Senior Residences Phase I and Montclare Senior Residences Phase II,6640 50 W Belden Ave,41,Multifamily Housing,294290,513.2,6128846,15611749,1962.4,6.7,41.94929,-87.64692,"(41.94929, -87.64692)",7,18
2016,148673,Teresa Roldan Apartment on Paseo Boricua,1154  N CAMPBELL,25,Multifamily Housing,52240,3793.6,1750234.9,3136362.6,482.6,9.2,41.921024,-87.691376,"(41.921024, -87.691376)",11,25
2020,113507,LaSalle Terrace Condominium Association,1540 N LaSalle St,2.5,Multifamily Housing,166700,1725.4,4079885.6,8584849.7,1092.7,7.2,41.90375,-87.63559,"(41.90375, -87.63559)",46,37
2020,103716,The Palmer House Hotel,17 E Monroe St,4.0,Hotel,1749427,1007.2,36891526.2,103199234.9,11167.8,6.6,41.88032,-87.62695,"(41.88032, -87.62695)",36,38
2020,251884,Ray Elementary -CPS,5631 S Kimbark Ave,3.0,K-12 School,115306,1619.2,1675490.7,8288440.4,701.7,6.1,41.792316,-87.594406,"(41.792316, -87.594406)",33,8
2020,251880,Tonti -CPS,5815 S Homan Ave,2.5,K-12 School,89103,8262.2,2695744.7,4398410,654.3,7.3,41.787407,-87.70774,"(41.787407, -87.70774)",6,61
2020,138874,Midtown Athletic Club,2020 W Fullerton Ave,2.0,Fitness Center/Health Club/Gym,208000,2371.2,18013436.5,9268100.2,3303.6,15.9,41.925434,-87.679146,"(41.925434, -87.679146)",40,23
2020,251407,Agassiz Elementary -CPS,2851 N Seminary Ave,1.0,K-12 School,57743,8263.0,1447055.4,8156259.8,659.1,11.4,41.93398,-87.65583,"(41.93398, -87.65583)",25,57
2020,136212,1155 E 60th St,1155 E 60th St,4.0,College/University,185815,1912.7,6855624.3,6154428.4,1375.4,7.4,41.845505,-87.630554,"(41.845505, -87.630554)",4,9
2020,251408,Clissold Elementary -CPS,2330 W 110th Pl,3.0,K-12 School,63257,5462.8,1366837.9,3532610.3,401,6.3,41.692986,-87.67978,"(41.692986, -87.67978)",42,74
2020,159312,2101 South Michigan Apartments,2101 S Michigan Ave,4.0,Multifamily Housing,204401,6079.9,2488893.8,16725700.1,1276.8,6.2,41.853767,-87.62338,"(41.853767, -87.62338)",9,34
2021,251402,Dett -CPS,2306 W Maypole Ave,13,K-12 School,61600,8109.4,8775128.9,7870396.9,32570.1,32.8,41.88416,-87.684784,"(41.88416, -87.684784)",46,29
2021,251886,Ross Elementary (Cockrell Cpc) -CPS,6059 S Wabash Ave,37,K-12 School,94200,8363.6,8099164.2,9484910.5,14052.2,89.3,41.784393,-87.62378,"(41.784393, -87.62378)",4,7
2020,159311,(ILCH1212) - Park Michigan [external],1212 S Michigan Ave,1.0,Multifamily Housing,313446,7088.5,17573117.4,4442990.5,2978.6,12.5,41.866882,-87.62464,"(41.866882, -87.62464)",9,34
2020,161628,Inter- American Magnet -CPS,851 W Waveland Ave,4.0,K-12 School,110443,8587.8,1304072.7,4728819.9,454.7,4.1,41.9485,-87.65141,"(41.9485, -87.65141)",25,57
2020,251887,Stem Magnet Academy / Old Thomas Jefferson -CPS,1522 W Fillmore Blvd,3.0,K-12 School,69329,3432.0,1006224.7,4925320.1,418.6,6,41.868713,-87.66486,"(41.868713, -87.66486)",23,29
2017,101537,4532 - 42 S. Drexel,4532 4542 S DREXEL BLVD,30,Multifamily Housing,62469,9629.4,2492159,1587017,545.1,8.7,41.72019,-87.656715,"(41.72019, -87.656715)",10,4
2020,251889,Smyser -CPS,4310 N Melvina Ave,4.0,K-12 School,78111,3205.3,1313825.7,3965590.1,415.7,5.3,41.95925,-87.78262,"(41.95925, -87.78262)",19,15
2020,158402,W CHICAGO - CITY CENTER,172 W Adams St,3.0,Hotel,243373,1426.4,9922696,20133321.3,2618,10.8,41.879913,-87.633224,"(41.879913, -87.633224)",36,38
2020,158403,IIT-Stuart School of Business,565 W Adams St,4.0,College/University,284000,5124.3,12920537.1,81509.4,2020.8,7.1,41.878975,-87.64212,"(41.878975, -87.64212)",36,29
2017,101592,5452 S Ellis,5452 5466 S ELLIS AVE,92,Multifamily Housing,51368,7919.7,264928,2944825,205.4,4,41.802242,-87.603325,"(41.802242, -87.603325)",33,8
2020,159738,4100 Marine Dr,4100 N Marine Dr,4.0,Multifamily Housing,286170,7711.4,7396936.5,6553062.4,1502.5,6,41.955887,-87.64627,"(41.955887, -87.64627)",39,31
2020,159736,United Winthrop Tower Cooperative,4848 N Winthrop Ave,1.5,Multifamily Housing,260000,5628.8,5249587.4,25500289.8,2173.7,8.7,41.97071,-87.657974,"(41.97071, -87.657974)",39,31
2020,129920,The Thompson Building,350 N Clark St,3.0,Office,111033,1520.5,7225141.7,2576000.1,1264.4,11.4,41.87781,-87.65493,"(41.87781, -87.65493)",36,37
2020,158405,250 S Wacker Dr,250 S Wacker Dr,3.5,Office,262214,5379.7,8307640,7346790.6,1686.8,6.7,41.878437,-87.637276,"(41.878437, -87.637276)",36,38
2020,159735,Sheridan Plaza Apartments,4601 4613 N SHERIDAN RD,3.0,Multifamily Housing,165792,173.5,5621909.4,4990184,1142.5,7.4,41.87373,-87.62548,"(41.87373, -87.62548)",39,31
2016,115754,Urban Van Buren LP,1504  W VAN BUREN ST,23,Multifamily Housing,51859,2057.9,2266298.2,4950450,680.7,13.1,41.90578,-87.66365,"(41.90578, -87.66365)",48,29
2020,159739,Ella Flagg Young Apartments,4645 N Sherdian Rd,4.0,Multifamily Housing,299019,181.7,2382828.2,12369900.4,1028.9,3.4,41.966652,-87.65417,"(41.966652, -87.65417)",39,31
2020,238480,5455 Edgewater Plaza Condominium Association,5455 N Sheridan Rd,1.5,Multifamily Housing,580512,8776.4,11107430.2,39228575.4,3817.1,7.1,41.981625,-87.6545,"(41.981625, -87.6545)",16,76
2020,250120,S2-Sinai; Schwab Rehab Institute,1401 S California Ave,4.0,Hospital (General Medical & Surgical),177380,3658.7,9207447.4,5359001.3,1721.6,9.7,42.01036,-87.6683,"(42.01036, -87.6683)",23,30
2020,252301,1934 N Washtenaw Condominium Association,1934 N Washtenaw Ave,4.0,Multifamily Housing,122864,6754.3,1939674.2,2415054,431,5.1,41.91657,-87.69476,"(41.91657, -87.69476)",41,23
2020,172703,Rickover Academy,5700 W BERTEAU AVE,4.0,K-12 School,117000,6536.4,1047104.9,3995489.7,375.6,3.2,41.95739,-87.770676,"(41.95739, -87.770676)",19,15
2017,252302,Eastwood Garden Limited Partnership,6531 S. Lowe Ave.,66,Multifamily Housing,206820,9390.0,3576626,12430976,1321.6,6.4,41.98245,-87.84101,"(41.98245, -87.84101)",4,66
2020,251450,Caldwell Math & Science -CPS,8540 S Cregier,2.0,K-12 School,64483,8647.0,2611495.3,2483920.1,539.5,8.4,42.006603,-87.66729,"(42.006603, -87.66729)",35,41
2020,251451,Madero Middle -CPS,3202 W 28th St,2.0,K-12 School,62071,8097.3,2363458.7,3809910,571.2,9.2,41.840908,-87.70508,"(41.840908, -87.70508)",28,32
2020,251452,Manierre Elementary -CPS,1420 N Hudson Ave,3.0,K-12 School,87876,5984.0,2070600.2,4094510.3,540.6,6.2,41.90776,-87.64006,"(41.90776, -87.64006)",46,37
2020,250129,300 North LaSalle,300 N LaSalle St,4.0,Office,1587805,4541.1,68420872.1,3463981.1,10862.4,7.2,41.845505,-87.630554,"(41.845505, -87.630554)",36,37
2020,252309,Natalie Salmon House,7320 N Sheridan Rd,4.0,Multifamily Housing,51000,5765.7,986501.4,1891810.1,254.4,5,42.014538,-87.66446,"(42.014538, -87.66446)",5,10
2020,100256,Curie Metropolitan HS -CPS,4975 S Archer Ave,2.5,K-12 School,415577,2487.8,18855019.1,9819320.3,3464.2,8.3,41.75392,-87.601974,"(41.75392, -87.601974)",8,54
2020,103766,640 N LaSalle Dr,640 N LaSalle St,4.0,Office,329845,284.7,16202311.9,2245160.3,2647.9,9.4,41.893616,-87.63342,"(41.893616, -87.63342)",36,37
2020,251459,Casals Elementary -CPS,3501 W Potomac Ave,2.5,K-12 School,66550,6265.3,2136801.9,2897989.8,487.4,7.3,41.90419,-87.71413,"(41.90419, -87.71413)",49,24
2017,158873,Cloisters,5801 5811 S DORCHESTER AVE,59,Multifamily Housing,191459,3572.3,1766057,15262976,1137.2,5.9,41.78926,-87.591194,"(41.78926, -87.591194)",33,8
2020,242510,The Residences at Joffrey Tower Condo Association,8 E Randolph St,1.0,Multifamily Housing,440398,1715.9,11292143.5,24059039.1,3608.8,8.8,41.88447,-87.627625,"(41.88447, -87.627625)",36,38
2020,103782,Warwick Allerton Hotel Chicago,136 148 E Huron St,4.0,Hotel,300000,2325.8,6730549,12052900.1,1690.6,5.6,42.006603,-87.66729,"(42.006603, -87.66729)",36,37
2020,159729,820 W Belle Plaine Apartments,820 W Belle Plaine Ave,1.5,Multifamily Housing,291260,6802.2,4851768.6,21375581.2,1892.6,8,41.759693,-87.67628,"(41.759693, -87.67628)",39,31
2020,251470,Dett,2101 W Monroe,3.0,K-12 School,70600,716.5,1412518.4,4165479.8,441.7,6.3,41.87995,-87.67917,"(41.87995, -87.67917)",46,29
2020,250132,Yards Forman Mills,4520 S Damen Ave,3.5,Retail Store,52875,9727.8,1800232.7,1911341.8,382.5,7.2,41.809395,-87.675,"(41.809395, -87.675)",1,59
2020,251465,"Coonley, John C -CPS",4046 N Leavitt St,2.0,K-12 School,72304,6123.2,2087283.9,4167869.8,547.1,7.6,41.95544,-87.684006,"(41.95544, -87.684006)",18,46
2018,254975,Sedgwick at Locust,367 W LOCUST ST,3.0,Multifamily Housing,91500,1686,1790051.2,4271033,524.7,5.7,41.89883,-87.638084,"(41.89883, -87.638084)",46,37
2016,251460,GarfieldPark-CPS,2651 W Washington Blvd,68,Office,77000,518.4,3177585.4,4584108.5,585.7,7.6,41.882915,-87.69279,"(41.882915, -87.69279)",46,28
2018,125543,Lincoln Village 1,6103 N LINCOLN AVE,2.0,Strip Mall,54435,5073,3842546.6,2430799.6,768.4,14.1,41.87118,-87.62812,"(41.87118, -87.62812)",27,13
2020,250134,Central Standard Building,231 S LaSalle St,4.0,Office,1178147,3662.1,33974897.5,21658142.1,7877.2,6.7,41.87868,-87.63229,"(41.87868, -87.63229)",36,38
2016,252310,917 W Eastwood,917 W Eastwood Ave,59,Multifamily Housing,75600,2818.2,1027010,5021340.2,456,6,41.868633,-87.627304,"(41.868633, -87.627304)",39,31
2020,250139,Domestic Violence Courthouse,555 W Harrison St,4.0,Courthouse,187268,9667.4,7493403.6,5987769.9,1487.5,7.9,41.886215,-87.6182,"(41.886215, -87.6182)",26,29
2020,250137,Club Quarters,75 E Wacker Dr,4.0,Hotel,178845,1935.8,5391815.7,5283899.9,1122.2,6.3,41.885853,-87.77478,"(41.885853, -87.77478)",36,38
2020,254978,The Park at Wrigley,1101 W WAVELAND AVE,1.0,Office,247887,3487.2,38586920.3,3222530.9,6193.4,25,41.948948,-87.65701,"(41.948948, -87.65701)",25,57
2016,103778,WEISS MEMORIAL HOSPITAL,4646 N Marine Dr,50,Hospital (General Medical & Surgical),412000,898.0,38837124.1,85150431.4,11681.3,28.4,41.96683,-87.64962,"(41.96683, -87.64962)",39,31
2020,251469,Mahalia Jackson Elementary -CPS,917 W 88th St,1.0,K-12 School,74586,1129.4,5092823.6,9043280.7,794.8,10.7,41.73386,-87.64687,"(41.73386, -87.64687)",13,70
2018,252318,The Broadmoor Apartments,7600 N Bosworth,4.0,Multifamily Housing,130365,427,1943956.3,5434843.8,612.1,4.7,42.01945,-87.66951,"(42.01945, -87.66951)",5,10
2020,132278,605 N Michigan Ave,605 N Michigan Ave,3.0,Mixed Use Property,82405,3698.3,6008003,9880065.6,937.7,11.4,41.892773,-87.624146,"(41.892773, -87.624146)",36,37
2017,158424,Virgin Hotel Chicago,203 209 N WABASH AVE,96,Hotel,198000,4907.9,8117056,15058445,2150.2,10.9,41.886196,-87.62593,"(41.886196, -87.62593)",36,38
2020,158422,"600 Fulton Owner, LLC",600 W Fulton St,3.5,Office,236216,2327.6,14402676.4,5443105.9,2247.8,9.5,41.809326,-87.59248,"(41.809326, -87.59248)",36,29
2020,251431,Kanoon Magnet Elementary -CPS,2233 S Kedzie Ave,2.0,K-12 School,67900,1828.4,3486605.9,3441546.6,544.2,8,41.850464,-87.704605,"(41.850464, -87.704605)",1,32
2020,251432,"Brown Elementary, William H -CPS",54 N Hermitage Ave,4.0,K-12 School,63290,6224.1,1448587.4,2272659.9,346.8,5.5,41.882988,-87.67118,"(41.882988, -87.67118)",46,29
2020,251434,Nicholson Math And Science Elementary - CPS,6006 S Peoria St,3.5,K-12 School,71602,9744.3,1151279.6,4256559.9,405.8,5.7,41.78449,-87.64768,"(41.78449, -87.64768)",2,66
2020,171878,Josephinum Academy,1501 N Oakley Blvd,4.0,K-12 School,85000,8593.4,311177.2,4868622.5,307.2,3.6,41.908768,-87.68434,"(41.908768, -87.68434)",41,25
2020,250102,Maria Diaz Martinez Apts,2111 N Halsted St,4.0,Multifamily Housing,133953,1041.8,1711315.9,7288519.9,654.2,5.3,41.92027,-87.64782,"(41.92027, -87.64782)",34,68
2020,250107,Mayor Robert H Lawrence Apts,655 W 65th St,4.0,Multifamily Housing,158732,4723.7,3347578.1,7914480.5,942.8,5.9,41.775497,-87.64186,"(41.775497, -87.64186)",4,66
2020,251439,Bennett Elementary -CPS,10115 S Prairie Ave,4.0,K-12 School,67595,4308.9,734804.1,2680370.1,257,3.8,41.710358,-87.617035,"(41.710358, -87.617035)",43,45
2020,250106,Maudele Brown Bousfield Apts,4945 S Cottage Grove Ave,4.0,Multifamily Housing,67320,6792.3,1370197.8,5858369.9,525,7.8,41.89217,-87.63413,"(41.89217, -87.63413)",10,5
2020,101567,The Monadnock Building,53 W Jackson Blvd,4.0,Office,496749,5578.6,5455092.3,11754606.5,1475.7,3,41.877525,-87.629555,"(41.877525, -87.629555)",10,38
2016,157100,1601 W Division LLC,1611  W DIVISION ST,48,Multifamily Housing,108887,9399.2,2163910.5,3240967,571,5.2,41.902252,-87.68448,"(41.902252, -87.68448)",11,25
2017,158431,600 North Michigan Avenue,600 N MICHIGAN AVE,89,Retail Store,209374,2955.5,34969827,15333160,7280.2,34.8,41.920395,-87.756165,"(41.920395, -87.756165)",36,37
2020,103748,NMH Olson Pavilion,710 N Fairbanks Ct,3.0,Laboratory,362800,9057.9,18090612.5,33184150.2,4586,24.6,41.89531,-87.62036,"(41.89531, -87.62036)",36,37
2020,250109,Vivian Gordon Harsh Apts,4227 S Oakenwald Ave,2.0,Multifamily Housing,102424,6691.7,2061363.2,9531989.6,828,8.1,41.817524,-87.59734,"(41.817524, -87.59734)",10,2
2020,251437,Spry Community Elementary -CPS,2400 S Marshall Blvd,4.0,K-12 School,106010,7129.0,1716532.7,3497550.1,453.7,4.3,41.847633,-87.699814,"(41.847633, -87.699814)",1,32
2020,250108,Vivian Carter Apts,6401 S Yale Ave,4.0,Multifamily Housing,150136,5147.3,3346772.8,9734000.1,1039.3,6.9,41.777767,-87.631355,"(41.777767, -87.631355)",4,66
2020,251438,"Stockton Specialty, Joseph -CPS",4420 N Beacon St,3.5,K-12 School,112070,3809.5,2777711,3871190.1,639.1,5.7,41.7398,-87.653496,"(41.7398, -87.653496)",39,31
2020,135316,Belhaven Nursing & Rehab Center,11401 S OAKLEY AVE,1.0,Senior Living Community,100866,8963.5,3688367.1,11865380.6,1205.9,17.3,41.89029,-87.61816,"(41.89029, -87.61816)",42,71
2020,159745,Clarendon Court Apartments,4500 N CLARENDON AVE,2.5,Multifamily Housing,110000,7173.8,3626117.7,6090581.2,889.4,8.1,41.96394,-87.65039,"(41.96394, -87.65039)",39,31
2020,158414,Old Republic Building,301 - 317 N Michigan Ave,4.0,Office,219636,6905.5,6666117.4,9502799.8,1545.1,7,41.963963,-87.65181,"(41.963963, -87.65181)",36,38
2020,158412,AC Hotel Chicago Downtown,630 N Rush St,36,Mixed Use Property,371717,6353.0,9286234.2,4979858.6,39867.0,26.7,41.893604,-87.62638,"(41.893604, -87.62638)",36,37
2016,112698,(IL567) - 6300 Sheridan,6300 6326 N SHERIDAN RD,100,Multifamily Housing,126456,6106.6,1764171.2,11160827.9,918,7.3,41.990902,-87.66661,"(41.990902, -87.66661)",16,76
2020,103761,20 W Kinzie St,20 W Kinzie St,4.0,Office,393838,8506.4,18697561.9,4262942.1,2918.1,7.4,41.88927,-87.62876,"(41.88927, -87.62876)",36,37
2017,114874,4900 Drexel Cooperative,4900 4918 S DREXEL BLVD,5,Multifamily Housing,90000,3131.7,314027,7134500,437,4.9,41.94662,-87.70269,"(41.94662, -87.70269)",33,8
2017,172719,Conservancy at North Park Condo Assoc III,3940  W BRYN MAWR AVE,87,Multifamily Housing,54096,1603.7,847176,2426798,285.5,5.3,41.802303,-87.6025,"(41.802303, -87.6025)",27,20
2020,105938,Harper Court,5235 S Harper Ct,2.0,Office,431390,7296.0,15060339.3,6316790.8,2686,11.6,41.80012,-87.58905,"(41.80012, -87.58905)",10,8
2020,251444,Gompers Fine Arts Option Elementary - CPS,12302 S State St,4.0,K-12 School,75744,8101.6,1531537.6,3129320,405.2,5.4,41.670017,-87.623184,"(41.670017, -87.623184)",43,50
2020,251445,Lara Academy- CPS,4619 S Wolcott Ave,3.0,K-12 School,67964,2694.1,2069995.6,2293810,444.9,6.5,41.780464,-87.60531,"(41.780464, -87.60531)",3,59
2020,250114,Zelda Ormes Senior Apartments,116 W Elm St,4.0,Multifamily Housing,169050,2817.8,3152404.8,10420030.1,1045.5,6.6,41.903164,-87.63183,"(41.903164, -87.63183)",46,37
2020,250112,William C Jones Apts,1447 S Ashland Ave,3.0,Multifamily Housing,65291,8630.7,1375725.2,7626540,619.8,9.6,41.97223,-87.6646,"(41.97223, -87.6646)",23,29
2017,172711,242-Senior Suites Chicago Wright Campus,4245  N OAK PARK AVE,43,Senior Care Community,54800,2745.3,957005,1873700,276.5,5,41.90375,-87.63559,"(41.90375, -87.63559)",19,17
2020,250118,Norwegian American Hospital,1044 N Francisco Ave,2.5,Hospital (General Medical & Surgical),312898,7324.7,34488939.2,28632579.5,6903.5,22.1,41.96422,-87.66098,"(41.96422, -87.66098)",49,25
2020,250115,City Hall,121 N LaSalle St,2.5,Office,411500,9817.3,23034484.3,36753220.5,5547.1,13.5,41.883854,-87.63168,"(41.883854, -87.63168)",36,38
2020,251446,Randolph Elementary -CPS,7316 S Hoyne Ave,2.0,K-12 School,78450,3550.2,3815329.7,2557690,731.3,9.3,41.885853,-87.77478,"(41.885853, -87.77478)",31,65
2020,251447,Foster Park Elementary -CPS,8500 S Wood,2.0,K-12 School,68005,1307.5,2688278.2,1924759.9,521.8,7.7,41.800785,-87.590485,"(41.800785, -87.590485)",13,70
2020,103759,Headquarters,547 W Jackson Blvd,3.5,Office,347691,7069.7,19103214.7,6528273.8,3328.2,9.6,41.878002,-87.64147,"(41.878002, -87.64147)",36,29
2020,251448,Providence Englewood Bunche Elementary Charter,6515 S Ashland Ave,2.5,K-12 School,70436,5922.1,2385615.6,1301891.3,441.5,8.2,41.775192,-87.66368,"(41.775192, -87.66368)",2,65
2020,251449,Libby Elementary -CPS,5300 S Loomis Blvd,3.5,K-12 School,115600,6288.3,3256093.7,2674650.1,650.2,5.6,41.797367,-87.66015,"(41.797367, -87.66015)",4,59
2017,238049,740 Fulton Condominium Association,740 W FULTON ST,32,Multifamily Housing,164230,2558.6,5461745,9551860,1517.2,9.2,41.887196,-87.647224,"(41.887196, -87.647224)",36,29
2020,160369,Jackson Park Terrace,6040 S HARPER AVE,4.0,Multifamily Housing,132000,2368.9,1278432,11845159.5,828.7,6.3,41.86412,-87.639885,"(41.86412, -87.639885)",33,9
2020,160368,River Bank Lofts Condominium Association,550 N Kingsbury St,4.0,Multifamily Housing,291927,2620.7,4138537.9,6474675.4,989.8,3.8,41.891983,-87.640755,"(41.891983, -87.640755)",36,37
2020,250171,The Heritage at Millennium Park,130 N Garland Ct,2.5,Multifamily Housing,1173350,6981.2,43859399.6,12940835.6,7532.5,8.1,41.895477,-87.660355,"(41.895477, -87.660355)",36,38
2020,251497,Burke Elementary -CPS,5356 S King Dr,2.5,K-12 School,73963,5755.8,1066597.1,6267650.3,499.4,6.8,41.789566,-87.58709,"(41.789566, -87.58709)",9,7
2016,175858,HRTL - Leland Apts: 1207 W Leland Ave,1201 1213 W LELAND AVE,37,Multifamily Housing,74913,2153.8,2171100.6,3523799.1,587.3,7.8,41.97223,-87.6646,"(41.97223, -87.6646)",18,31
2020,251499,Jahn World Language -CPS,3149 N Wolcott Ave,4.0,K-12 School,83029,5784.1,1100525,4174640,393.5,4.7,41.868633,-87.627304,"(41.868633, -87.627304)",40,46
2020,118831,10725-Bucktown,2140 N Elston Ave,4.0,Retail Store,130345,9029.2,2907102.4,263800,467.7,3.6,41.879112,-87.646515,"(41.879112, -87.646515)",40,23
2020,127778,Ridge Place Apartments,7115 7129 N RIDGE BLVD,3.0,Multifamily Housing,51524,4375.2,554477.2,3139199.8,253.3,4.9,42.01182,-87.68266,"(42.01182, -87.68266)",5,10
2020,172347,River West Lofts,925 W HURON ST,2.5,Multifamily Housing,177000,2184.5,4297414.1,9808200.3,1191.7,6.7,41.89983,-87.65764,"(41.89983, -87.65764)",46,25
2018,105989,C5501WAS (25112),5501 5511 W WASHINGTON BLVD,3.5,Multifamily Housing,118890,3894,1746758,9003361.1,768.8,6.5,41.880394,-87.75827,"(41.880394, -87.75827)",23,26
2020,161204,Illinois College of Optometry,3241 S Michigan Ave,4.0,College/University,451568,2965.8,10139126.7,8217049.8,2018.9,6.1,41.88696,-87.623055,"(41.88696, -87.623055)",9,1
2020,250176,Aviation Administration Building,10510 W Zemke Rd,1.5,Office,387041,3734.6,10133198,5532920.1,1875.4,11.3,41.970306,-87.65058,"(41.970306, -87.65058)",29,75
2020,254536,Optima Signature Apartments,220 E Illinois St,4.0,Multifamily Housing,872200,3217.9,18994388.8,14847770,3753.1,4.3,41.921024,-87.691376,"(41.921024, -87.691376)",36,37
2020,254535,Niche 905,905 N Orleans St,1.0,Multifamily Housing,241717,765.8,7623274.6,7367579.3,1581.1,8.9,41.90412,-87.631424,"(41.90412, -87.631424)",11,37
2018,102487,Pine Grove Apartments,3639 3649 N PINE GROVE AVE,2.0,Multifamily Housing,100338,6865,2079921.1,9887356.7,871.2,8.7,41.95402,-87.662025,"(41.95402, -87.662025)",18,57
2020,254539,Glen Lake 1 Condo Assoc.,6400 W Berteau,4.0,Multifamily Housing,517756,419.7,5738718.1,22377059.4,2084.2,4.8,41.77034,-87.63724,"(41.77034, -87.63724)",44,17
